"BAND.PRE","BAND.SUF","COLORS","SPECIES","AGE","SEX","SITE","DATE","WING","TARSUS","MASS","FAT","PEC","NOTES","year","year.num"
"2240","21554","XR-YB","AMRE","AHY","F","El Corral","10-Jan-04",59.5,17.5,7.4,"1",0,NA,"2003-2004",2003
"2240","21565","XY-YY","AMRE","AHY",NA,"El Corral","26-Feb-04",61,15.9,7.4,"2",2,NA,"2003-2004",2003
"2280","33223","X-","BANA","AHY",NA,"El Corral","10-Jan-04",50.5,15.6,7.7,NA,NA,NA,"2003-2004",2003
"2280","33224","X-","BANA","HY",NA,"El Corral","10-Jan-04",54,16.4,7.4,NA,NA,NA,"2003-2004",2003
"2250","78632","X-B","BAWW","AHY","F","El Corral","13-Nov-03",67.5,18.1,9.7,"0",1,NA,"2003-2004",2003
"2250","78632","X-B","BAWW","AHY","F","El Corral","25-Feb-04",67.5,18.1,10,"1",1,NA,"2003-2004",2003
"2250","78634","Y-X","BAWW","HY","M","El Corral","13-Nov-03",64,17.1,9.9,"1",2,NA,"2003-2004",2003
"4A","217","YX-BB","BCPT","HY",NA,"El Corral","13-Nov-03",85.5,23.5,28.4,NA,NA,NA,"2003-2004",2003
"4A","217","YX-BB","BCPT","HY",NA,"El Corral","10-Jan-04",83,24.1,27.2,NA,NA,NA,"2003-2004",2003
"4A","218","XW-BY","BCPT","AHY",NA,"El Corral","13-Nov-03",NA,22.4,26.6,NA,NA,NA,"2003-2004",2003
"4A","218","XW-BY","BCPT","AHY",NA,"El Corral","26-Feb-04",90.5,23,27,NA,NA,NA,"2003-2004",2003
"4A","219","YR-XB","BCPT","AHY",NA,"El Corral","13-Nov-03",87.5,23.7,26.7,NA,NA,NA,"2003-2004",2003
"4A","220","WY-XB","BCPT","AHY",NA,"El Corral","13-Nov-03",91.5,23.9,29.3,NA,NA,NA,"2003-2004",2003
"4A","221","RB-YX","BCPT","AHY",NA,"El Corral","13-Nov-03",88,23.6,29.4,NA,NA,NA,"2003-2004",2003
